"Date(UTC)","UnixTimeStamp","Value"
"1/14/2021","1610582400","440"
"1/15/2021","1610668800","0"
"1/16/2021","1610755200","0"
"1/17/2021","1610841600","0"
"1/18/2021","1610928000","0"
"1/19/2021","1611014400","0"
"1/20/2021","1611100800","0"
"1/21/2021","1611187200","0"
"1/22/2021","1611273600","0"
"1/23/2021","1611360000","0"
"1/24/2021","1611446400","0"
"1/25/2021","1611532800","0"
"1/26/2021","1611619200","0"
"1/27/2021","1611705600","0"
"1/28/2021","1611792000","0"
"1/29/2021","1611878400","0"
"1/30/2021","1611964800","0"
"1/31/2021","1612051200","0"
"2/1/2021","1612137600","0"
"2/2/2021","1612224000","0"
"2/3/2021","1612310400","0"
"2/4/2021","1612396800","0"
"2/5/2021","1612483200","0"
"2/6/2021","1612569600","0"
"2/7/2021","1612656000","0"
"2/8/2021","1612742400","0"
"2/9/2021","1612828800","0"
"2/10/2021","1612915200","0"
"2/11/2021","1613001600","0"
"2/12/2021","1613088000","0"
"2/13/2021","1613174400","0"
"2/14/2021","1613260800","0"
"2/15/2021","1613347200","0"
"2/16/2021","1613433600","0"
"2/17/2021","1613520000","0"
"2/18/2021","1613606400","0"
"2/19/2021","1613692800","0"
"2/20/2021","1613779200","0"
"2/21/2021","1613865600","0"
"2/22/2021","1613952000","0"
"2/23/2021","1614038400","0"
"2/24/2021","1614124800","0"
"2/25/2021","1614211200","0"
"2/26/2021","1614297600","0"
"2/27/2021","1614384000","0"
"2/28/2021","1614470400","0"
"3/1/2021","1614556800","0"
"3/2/2021","1614643200","0"
"3/3/2021","1614729600","0"
"3/4/2021","1614816000","0"
"3/5/2021","1614902400","0"
"3/6/2021","1614988800","0"
"3/7/2021","1615075200","0"
"3/8/2021","1615161600","0"
"3/9/2021","1615248000","0"
"3/10/2021","1615334400","0"
"3/11/2021","1615420800","0"
"3/12/2021","1615507200","0"
"3/13/2021","1615593600","0"
"3/14/2021","1615680000","0"
"3/15/2021","1615766400","0"
"3/16/2021","1615852800","0"
"3/17/2021","1615939200","0"
"3/18/2021","1616025600","0"
"3/19/2021","1616112000","0"
"3/20/2021","1616198400","0"
"3/21/2021","1616284800","0"
"3/22/2021","1616371200","0"
"3/23/2021","1616457600","0"
"3/24/2021","1616544000","0"
"3/25/2021","1616630400","0"
"3/26/2021","1616716800","0"
"3/27/2021","1616803200","0"
"3/28/2021","1616889600","0"
"3/29/2021","1616976000","0"
"3/30/2021","1617062400","0"
"3/31/2021","1617148800","0"
"4/1/2021","1617235200","0"
"4/2/2021","1617321600","0"
"4/3/2021","1617408000","0"
"4/4/2021","1617494400","0"
"4/5/2021","1617580800","0"
"4/6/2021","1617667200","0"
"4/7/2021","1617753600","0"
"4/8/2021","1617840000","0"
"4/9/2021","1617926400","0"
"4/10/2021","1618012800","0"
"4/11/2021","1618099200","0"
"4/12/2021","1618185600","0"
"4/13/2021","1618272000","0"
"4/14/2021","1618358400","0"
"4/15/2021","1618444800","0"
"4/16/2021","1618531200","0"
"4/17/2021","1618617600","0"
"4/18/2021","1618704000","0"
"4/19/2021","1618790400","0"
"4/20/2021","1618876800","0"
"4/21/2021","1618963200","0"
"4/22/2021","1619049600","0"
"4/23/2021","1619136000","0"
"4/24/2021","1619222400","0"
"4/25/2021","1619308800","0"
"4/26/2021","1619395200","0"
"4/27/2021","1619481600","0"
"4/28/2021","1619568000","0"
"4/29/2021","1619654400","0"
"4/30/2021","1619740800","0"
"5/1/2021","1619827200","0"
"5/2/2021","1619913600","0"
"5/3/2021","1620000000","0"
"5/4/2021","1620086400","0"
"5/5/2021","1620172800","0"
"5/6/2021","1620259200","0"
"5/7/2021","1620345600","0"
"5/8/2021","1620432000","0"
"5/9/2021","1620518400","0"
"5/10/2021","1620604800","0"
"5/11/2021","1620691200","0"
"5/12/2021","1620777600","0"
"5/13/2021","1620864000","0"
"5/14/2021","1620950400","0"
"5/15/2021","1621036800","0"
"5/16/2021","1621123200","0"
"5/17/2021","1621209600","0"
